DQ648794.1,DQ648794.1|BtCoV/133/2005
EF065505.1,EF065505.1|B04f
EF065506.1,EF065506.1|B05f
EF065507.1,EF065507.1|B07f
EF065508.1,EF065508.1|LMH1f
EF065510.1,EF065510.1|TT03f
EF065511.1,EF065511.1|TT06f
EF065512.1,EF065512.1|TT07f
NC_009020.1,NC_009020.1|HKU5-1 LMH03f
KC776174.1,KC776174.1|Jordan-N3/2012
KC545386.1,KC545386.1|ErinaceusCoV/2012-216/GER/2012
KJ156881.1,KJ156881.1|Wadi-Ad-Dawasir_1_2013
KJ156944.1,KJ156944.1|Riyadh_5_2013
KJ473821.1,KJ473821.1|SC2013
KJ473820.1,KJ473820.1|BtPa-GD2013
KJ473822.1,KJ473822.1|BtTp-GX2012
KC869678.4,KC869678.4|Neoromicia/PML-PHE1/RSA/2011
NC_019843.3,NC_019843.3|HCoV-EMC/2012
KM027260.1,KM027260.1|Jeddah_C10306/KSA/2014-04-20
KP209312.1,KP209312.1|Abu Dhabi_UAE_9_2013
KT029139.1,KT029139.1|MERS-CoV/KOR/KNIH/002_05_2015
KT156561.1,KT156561.1|Hu/Oman_2874_2013
KT326819.1,KT326819.1|MERS-CoV/KOR/KNIH/001_05_2015
KT368828.1,KT368828.1|camel/Jeddah/D100/2014
KT368838.1,KT368838.1|camel/Jeddah/D46(b)/2014
KT368843.1,KT368843.1|camel/Jeddah/D88/2014
KT368848.1,KT368848.1|camel/Jeddah/N68(b)/2014
KT374050.1,KT374050.1|KOREA/Seoul/163-2-2015
KT374051.1,KT374051.1|KOREA/Seoul/163-1-2015
KT374052.1,KT374052.1|KOREA/Seoul/014-1-2015
KT374053.1,KT374053.1|KOREA/Seoul/014-2-2015
KT374054.1,KT374054.1|KOREA/Seoul/035-1-2015
KT374055.1,KT374055.1|KOREA/Seoul/035-2-2015
KT374056.1,KT374056.1|KOREA/Seoul/168-1-2015
KT374057.1,KT374057.1|KOREA/Seoul/168-2-2015
KU308549.1,KU308549.1|Korea/Seoul/SNU1-035/2015
KX034094.1,KX034094.1|MERS-CoV/KOR/Seoul/050-1-2015
KX034095.1,KX034095.1|MERS-CoV/KOR/Seoul/066-2015
KX034096.1,KX034096.1|MERS-CoV/KOR/Seoul/077-2-2015
KX034097.1,KX034097.1|MERS-CoV/KOR/Seoul/080-3-2015
KX034098.1,KX034098.1|MERS-CoV/KOR/Seoul/162-1-2015
KX034099.1,KX034099.1|MERS-CoV/KOR/Seoul/169-2015
KX034100.1,KX034100.1|MERS-CoV/KOR/Seoul/177-3-2015
NC_034440.1,NC_034440.1|PREDICT/PDF-2180
KX442564.1,KX442564.1|YD131305
MF598621.1,MF598621.1|camel/UAE_B29_2015
MF598623.1,MF598623.1|camel/UAE_B31_2015
MF598687.1,MF598687.1|camel/UAE_B100_2015
MF598689.1,MF598689.1|camel/UAE_B102_2015
MG923469.1,MG923469.1|MERS-CoV_camel/Morocco/CIRAD-HKU213/2015
MG021452.1,MG021452.1|NL140422
NC_039207.1,NC_039207.1|ErinaceusCoV/2012-174/GER/2012
MK052676.1,MK052676.1|Hu/Jordan-201440011858/2014
MK129253.1,MK129253.1|MERS-CoV/KOR/KCDC/001_2018-TSVi
MK796425.1,MK796425.1|KNIH/002_05_2015
KJ477103.2,KJ477103.2|NRCE-HKU270
MK907286.1,MK907286.1|F6
MN611519.1,MN611519.1|GZ131656
MN611520.1,MN611520.1|BY140568
MT387202.1,MT387202.1|KNIH_002
MW218395.1,MW218395.1|SM3A
ON378807.1,ON378807.1|BatCoV_B20-180
ON325306.1,ON325306.1|Bat-CoV/P.nathusii/Russia/MOW15-22/2015
LC706863.1,LC706863.1|VsCoV-kj15
LC706865.1,LC706865.1|EjCoV-3
OQ405399.1,OQ405399.1|BtCoV/P.nathusii/NL/2018-403.3
OQ401251.1,OQ401251.1|5-129B
OQ786859.1,OQ786859.1|A100
NC_006577.2,NC_006577.2|HKU1
EF065513.1,EF065513.1|BF_005I
KF636752.1,KF636752.1|Zhejiang2013
NC_045512.2,NC_045512.2|Wuhan-Hu-1
OQ786862.1,OQ786862.1|MjHKU4r
